ZONE_N,ZONE_C,SUBZONE_N,SUB_ZONE_C,AGE0-4,AGE5-9,AGE10-14,AGE15-19,AGE20-24,AGE25-29,AGE30-34,AGE35-39,AGE40-44,AGE45-49,AGE50-54,AGE55-59,AGE60-64,AGE65-69,AGE70-74,AGE75-79,AGE80-84,AGE85
ANG MO KIO,AM,ANG MO KIO TOWN CENTRE,AMSZ01,200,290,320,280,260,310,320,370,460,450,370,310,280,280,160,150,70,60
ANG MO KIO,AM,CHENG SAN,AMSZ02,1130,1090,1140,1270,1450,1840,1970,2320,2220,2170,2250,2130,2240,2070,1210,930,530,390
ANG MO KIO,AM,CHONG BOON,AMSZ03,860,910,1040,1300,1390,1750,1730,1940,1960,1880,2170,2130,2160,2010,1430,1100,570,430
ANG MO KIO,AM,KEBUN BAHRU,AMSZ06,690,810,980,1110,1280,1480,1290,1500,1670,1730,1870,1820,1780,1670,1120,900,510,410
ANG MO KIO,AM,SEMBAWANG HILLS,AMSZ07,200,320,410,520,550,510,300,300,460,520,540,550,450,420,260,220,140,140
ANG MO KIO,AM,SHANGRILA,AMSZ05,560,650,740,820,1030,1050,980,1090,1210,1250,1440,1410,1350,1120,790,640,370,320
ANG MO KIO,AM,TAGORE,AMSZ08,280,340,430,520,660,700,400,430,550,570,650,730,650,460,260,210,150,130
ANG MO KIO,AM,TOWNSVILLE,AMSZ04,950,1030,940,870,1120,1450,1450,1840,1830,1530,1570,1760,1710,1590,1120,970,540,440
ANG MO KIO,AM,YIO CHU KANG,AMSZ10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANG MO KIO,AM,YIO CHU KANG EAST,AMSZ12,150,150,210,260,330,320,220,230,260,290,310,340,330,260,150,100,70,60
ANG MO KIO,AM,YIO CHU KANG NORTH,AMSZ11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ANG MO KIO,AM,YIO CHU KANG WEST,AMSZ09,910,1130,1380,1520,1530,1740,1500,1820,2020,2000,2040,2040,2000,1760,940,690,380,290
BEDOK,BD,BAYSHORE,BDSZ08,390,480,480,410,340,320,360,670,880,770,630,420,390,310,180,110,70,110
BEDOK,BD,BEDOK NORTH,BDSZ04,2960,3440,3680,4690,5310,5880,4880,5790,6230,6080,6870,7060,6440,5660,3560,2530,1500,1260
BEDOK,BD,BEDOK RESERVOIR,BDSZ02,1250,1420,1520,1610,1570,1790,1880,2060,2270,2120,2000,1940,1790,1380,660,470,250,210
BEDOK,BD,BEDOK SOUTH,BDSZ06,1750,1950,2310,2660,3160,3530,2830,3030,3360,3610,3830,4080,3720,3350,2140,1720,1050,910
BEDOK,BD,FRANKEL,BDSZ05,1590,2020,1920,1820,1970,2060,1870,2550,3240,2910,2440,2180,2090,1900,1110,880,660,690
