Sub-district ID,City,District,Sub-district,Positive,Recovered,Death
3172051003,JAKARTA UTARA,PADEMANGAN,ANCOL,1776,1691,26
3173041007,JAKARTA BARAT,TAMBORA,ANGKE,1783,1720,29
3175041005,JAKARTA TIMUR,KRAMAT JATI,BALE KAMBANG,2049,1964,31
3175031003,JAKARTA TIMUR,JATINEGARA,BALI MESTER,827,797,13
3175101006,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,2866,2792,27
3174031002,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,1828,1757,26
3175051002,JAKARTA TIMUR,PASAR REBO,BARU,2541,2433,37
3175041004,JAKARTA TIMUR,KRAMAT JATI,BATU AMPAR,3608,3445,68
3171071002,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,2012,1937,38
3175031002,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,2900,2773,52
3174101002,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,3656,3503,72
3174011005,JAKARTA SELATAN,TEBET,BUKIT DURI,2287,2204,28
3171041006,JAKARTA PUSAT,SENEN,BUNGUR,1396,1350,25
3175061007,JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,2033,1974,25
3175061004,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,2765,2647,48
3175041007,JAKARTA TIMUR,KRAMAT JATI,CAWANG,3079,2988,39
3175101008,JAKARTA TIMUR,CIPAYUNG,CEGER,1965,1892,27
3171031006,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,2912,2808,56
3171051002,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,3924,3783,67
3171051001,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,2949,2812,47
3173011001,JAKARTA BARAT,CENGKARENG,CENGKARENG BARAT,5338,5154,93
3173011006,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,5756,5555,98
3175091002,JAKARTA TIMUR,CIRACAS,CIBUBUR,5574,5341,65
3171011002,JAKARTA PUSAT,GAMBIR,CIDENG,1691,1630,26
3174091003,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,3756,3624,49
3175051003,JAKARTA TIMUR,PASAR REBO,CIJANTUNG,3745,3575,76
3171061003,JAKARTA PUSAT,MENTENG,CIKINI,688,664,13
