Province,PCI Score,Entry Costs,Land Access & Tenure,Transparency,Time Costs,Informal Charges,Policy Bias,Proactivity,Business Support Services,Labor Policy,Law & Order
Max,100.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00
Min,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
An Giang,64.72,8.37,7.07,5.56,8.65,6.96,6.67,6.47,6.18,6.27,6.24
BRVT,65.48,7.10,6.85,5.64,8.45,7.04,6.16,6.03,6.22,7.07,6.52
Bac Giang,63.98,6.99,6.30,5.39,8.68,6.47,7.89,6.75,5.82,6.82,6.28
Bac Kan,61.97,8.15,6.11,5.89,6.81,5.99,6.27,5.25,5.62,6.45,7.54
Bac Lieu,59.61,8.70,7.80,4.81,7.89,5.98,6.56,5.83,5.69,5.56,6.23
Bac Ninh,66.74,7.04,7.07,5.34,8.42,7.69,6.46,6.55,6.75,6.82,6.95
Ben Tre,69.08,7.69,7.36,6.25,8.64,7.81,7.65,7.02,6.53,6.32,7.76
Binh Dinh,63.18,8.17,7.15,5.60,7.93,6.19,6.06,6.54,5.54,6.64,7.04
Binh Duong,70.16,8.05,6.92,6.40,7.76,6.98,6.69,7.09,7.48,6.92,6.63
Binh Phuoc,62.42,6.77,6.19,5.23,6.90,5.93,5.91,6.28,7.57,5.88,6.20
Binh Thuan,63.29,8.56,6.54,5.92,7.51,6.69,6.68,6.16,6.22,5.78,6.07
Ca Mau,62.82,8.50,6.86,5.24,7.52,6.09,6.59,5.19,7.07,5.76,6.49
Can Tho,66.33,7.01,6.62,6.29,8.43,6.82,8.30,6.34,6.04,6.52,6.94
Cao Bang,62.20,9.14,5.61,5.54,6.69,5.76,6.98,5.50,6.05,6.63,6.05
Da Nang,70.12,8.75,7.35,6.23,8.62,7.11,6.18,6.37,6.32,7.87,7.05
Dak Lak,63.22,7.23,6.90,5.71,7.32,5.87,6.61,6.22,6.44,6.20,7.03
