XCOORD,YCOORD,NAME,ADDRESS,OUTLET_TYPE,Gp1Gp2Win
103.846879,1.28351522,Kis Store,18 Cross Street Marsh & McLennan Centre #B1-01   Singapore 048423,Outlet,47
103.849282,1.28289703,Singapore Turf Club China Square,51 Telok Ayer Street   Singapore 048441,Outlet,1
103.852059,1.28361982,Tay Sui Lan Agency,11 Collyer Quay The Arcade #02-13   Singapore 049317,Outlet,59
103.849243,1.28606825,7-Eleven Circular Rd,58 Circular Rd #01-01   Singapore 049413,Outlet,12
103.846433,1.28497694,Feng Yuen Agency Enterprise,150 South Bridge Rd Fook Hai Building #B1-26   Singapore 058727,Outlet,29
103.84333,1.28294317,Vitatron & Medical Co,60 Smith St   Singapore 058963,Outlet,28
103.842585,1.28412863,Oversea Emporium (Pte) Ltd,1 Park Rd People's Park Complex #02-70   Singapore 059108,Outlet,20
103.843181,1.28474568,Singapore Turf Club Majestic,80 Eu Tong Sen Street   Singapore 059810,Outlet,0
103.84066,1.28170809,Subramaniam Store,100 Eu Tong Sen St Pearl's Centre #01-30   Singapore 059812,Outlet,23
103.840692,1.28153754,Singapore Turf Club Pearl Centre,100A Eu Tong Sen St Pearls Centre #04-01 / #05-00   Singapore 059813,Outlet,0
103.847576,1.2796854,7-Eleven McCallum Street,3 McCallum Street   Singapore 069044,Outlet,14
103.845165,1.28121771,7-Eleven Erskine Road,7 Erskine Rd   Singapore 069320,Outlet,15
103.845955,1.27585667,Singapore Turf Club International Plaza,10 Anson Rd International Plaza #03-13/26   Singapore 079903,Outlet,12
103.843006,1.27623808,NTUC FP Tanjong Pagar,Blk 5 Tanjong Pagar Rd Tanjong Pagar Plaza #01-01   Singapore 081005,Outlet,48
103.825878,1.27446978,Lucky Hill,Blk 112 Bukit Purmei Rd #01-209   Singapore 090112,Outlet,16
103.820228,1.26423843,NTUC FP - CHEERS HARBOURFRONT,1 Maritime Square Harbourfront Centre #01-82   Singapore 099253,Outlet,32
103.812005,1.27570676,Goh Geok Kwee Agency,Blk 61 Telok Blangah Heights #01-107   Singapore 100061,Outlet,14
103.810298,1.28096681,Everbright Services,Blk 108 Depot Rd #01-17   Singapore 100108,Outlet,15
103.808981,1.2733807,NTUC FP Telok Blangah,Blk 78A Telok Blangah St 32 #01-01   Singapore 101078,Outlet,24
103.770595,1.32189102,7-Eleven Clementi Street 11,Blk 109 Clementi St 11 #01-15   Singapore 120109,Outlet,11
103.771361,1.31427266,NTUC FP Clementi Ave 2,Blk 352 Clementi Ave 2 #01-141/143   Singapore 120352,Outlet,34
103.76568,1.31264809,NTUC FP Clementi Ave 3,Blk 451 Clementi Ave 3 #01-307   Singapore 120451,Outlet,25
103.758864,1.31127874,OCN (Singapore) Pte Ltd,Blk 501 West Coast Dr #01-266   Singapore 120501,Outlet,27
103.762107,1.30836936,Sheng Moh Fruits & Prov Store,29 Jln Mas Puteh   Singapore 128632,Outlet,31
103.78455,1.30735354,Chuan Hao Dept Store,Blk 19A Dover Crescent #01-04   Singapore 131019,Outlet,12
103.797359,1.30042715,Chua Yan Kee,Blk 49 Tanglin Halt Rd #01-349   Singapore 142049,Outlet,21
103.810972,1.29270253,NTUC FP Dawson,Blk 57 Dawson Road #01-07 Dawson Place   Singapore 142057,Outlet,8
103.808256,1.28648818,Keppel Credit Union Co-operative Ltd,Blk 1 Jln Bukit Merah #01-4536   Singapore 150001,Outlet,10
103.804019,1.28685131,Thiam Hoon Traders,Blk 123 Bukit Merah Lane 1 #01-110   Singapore 150123,Outlet,32
103.81769,1.28315093,NTUC FP Bukit Merah,Blk 166 Bukit Merah Central #01-3527   Singapore 150166,Outlet,30
103.818881,1.28331071,Singapore Turf Club Bukit Merah,Blk169 Jalan Bukit Merah #01-20   Singapore 150169,Outlet,3
103.82153,1.28513503,Seah Koon Huat,Blk 116 Bukit Merah View #01-233   Singapore 151116,Outlet,36
103.826803,1.28976475,NTUC FP Havelock Rd,Blk 50 Havelock Rd #01-755   Singapore 160050,Outlet,16
103.832505,1.28424366,Ong Eng Siang Trading,Blk 71 Seng Poh Rd #01-43   Singapore 160071,Outlet,26
103.827401,1.27955058,Papillon Florist Pte Ltd,Blk 133 Jln Bukit Merah #01-1520   Singapore 160133,Outlet,13
103.827351,1.28613037,NTUC FP Tiong Bahru Plaza,302 Tiong Bahru Rd Tiong Bahru Plaza #B1-01/02   Singapore 168732,Outlet,29
103.829279,1.28508692,7-Eleven Kim Tian,8 Kim Tian Rd   Singapore 169247,Outlet,13
103.850803,1.29232339,Precise Optics,111 North Bridge Rd Peninsula Plaza #02-42   Singapore 179098,Outlet,35
103.857782,1.30191294,Wong Teck Chow Enterprise Pte Ltd,390 Victoria St Golden Landmark Shopping Centre #01-33   Singapore 188061,Outlet,13
103.854495,1.30145299,Delisia Agency Pte Ltd,149 Rochor Rd Fu Lu Shou Complex #B1-26   Singapore 188425,Outlet,52
103.861413,1.30362436,Kwek Lee Eng Agency,200 Jln Sultan Textile Centre #01-29   Singapore 199018,Outlet,30
103.865284,1.30285776,Pinthely Floral Centre,5001 Beach Road #02-35 Golden Mile Complex   Singapore 199588,Outlet,28
103.854889,1.30731535,Hin Teck Leong Trading Co,Blk 640 Rowell Rd #01-68   Singapore 200640,Outlet,17
103.857736,1.30830215,Teo Khar Bee Agency,87 Maude Rd #01-01   Singapore 208358,Outlet,23
103.859959,1.31272278,7-Eleven Foch Road,27 Foch Rd Hoa Nam Building #01-07/08   Singapore 209264,Outlet,10
103.850822,1.31559747,7-Eleven Owen Road,Blk 45 Owen Rd #01-295   Singapore 210045,Outlet,23
103.855144,1.31253699,Singapore Turf Club Rangoon,Blk 677 Rangoon Rd #02-00   Singapore 210677,Outlet,3
103.855259,1.31370645,Rangoon Provision Shop,681 Race Course Road #01-309   Singapore 210681,Outlet,21
103.840726,1.30200263,Cheng Tai Boon Beng,5 Koek Rd Cuppage Plaza #B1-22   Singapore 228796,Outlet,17
103.845067,1.30082072,7-Eleven Plaza Singapura,68 Orchard Rd Plaza Singapura #01-51   Singapore 238839,Outlet,15
103.834005,1.30446379,Ram's Shop 1996,304 Orchard Rd Lucky Plaza #B1-119   Singapore 238863,Outlet,45
103.829116,1.30699671,Uni-Foto Pte Ltd,400 Orchard Rd Orchard Towers #B1-11   Singapore 238875,Outlet,24
103.838534,1.29727531,NTUC FP Killiney Rd,131 Killiney Rd CGH Building #01-01/02/03   Singapore 239571,Outlet,13
103.842601,1.29216466,Cold Storage UE Square,81 Clemenceau Ave UE Square #02-18   Singapore 239917,Outlet,6
103.810002,1.3238337,NTUC FP Coronation,587 Bukit Timah Rd Coronation Shopping Plaza #01-01   Singapore 269707,Outlet,23
103.792388,1.30855291,Singapore Turf Club Holland Drive,Blk 47 Holland Drive #01-385   Singapore 270047,Outlet,5
103.7951,1.33110793,7-Eleven Sixth Avenue,6 Sixth Ave   Singapore 276472,Outlet,25
103.793772,1.33765069,7-Eleven Turf City,200 Turf Club Rd Turf City #01-49/50   Singapore 287994,Outlet,11
103.84418,1.32066697,NTUC FP Square 2,10 Sinaran Dr Square 2 #04-47/48/49   Singapore 307506,Outlet,25
103.85755,1.33523423,Chong Hoe Tong,Blk 21 Lor 7 Toa Payoh #01-290   Singapore 310021,Outlet,23
103.85242,1.33443253,Yeo Soon Huat,Blk 70 Lor 4 Toa Payoh #01-347   Singapore 310070,Outlet,17
103.848984,1.33888334,Evercool Engineering,Blk 95 Lor 4 Toa Payoh #01-50   Singapore 310095,Outlet,23
103.850483,1.33166183,NTUC FP Toa Payoh,Blk 192 Lor 4 Toa Payoh #02-674   Singapore 310192,Outlet,25
103.857935,1.33858938,A P Mini Mart,Blk 234 Lor 8 Toa Payoh #01-286   Singapore 310234,Outlet,17
103.847068,1.33301368,NTUC FP Toa Payoh HDB Centre,Blk 500 Lor 6 Toa Payoh HDB Centre #01-33   Singapore 310500,Outlet,34
