Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
PEIRCE VIEW,557 Upper Thomson Road  #02-12,1,113,Strata,840000,-,7434,691,10-Jan-19,Condominium,Freehold,1996,Resale,Private,20,57,574418,North East Region,Ang Mo Kio
FLORIDA PARK,54 Sunrise Drive,1,312,Land,3040000,-,9737,905,10-Jan-19,Semi-Detached House,Freehold,1989,Resale,Private,28,80,806557,North East Region,Ang Mo Kio
BULLION PARK,164 Lentor Loop  #03-02,1,75,Strata,860000,-,11467,1065,8-Jan-19,Condominium,Freehold,1993,Resale,Private,26,78,789096,North East Region,Ang Mo Kio
CASTLE GREEN,483 Yio Chu Kang Road  #07-03,1,107,Strata,1000000,-,9346,868,3-Jan-19,Condominium,99 Yrs From 01/12/1993,1997,Resale,Private,26,78,787057,North East Region,Ang Mo Kio
HAPPY ESTATE,36 Thomson Heights,1,687,Land,7000000,-,10183,946,2-Jan-19,Semi-Detached House,Freehold,1984,Resale,Private,20,57,574861,North East Region,Ang Mo Kio
TEACHER'S HOUSING ESTATE,148 Tagore Avenue,1,228,Land,2880000,-,12659,1176,11-Feb-19,Terrace House,999 Yrs From 02/12/1885,Unknown,Resale,Private,26,78,787738,North East Region,Ang Mo Kio
THE PANORAMA,20 Ang Mo Kio Avenue 2  #05-40,1,94,Strata,1510000,-,16064,1492,8-Feb-19,Condominium,99 Yrs From 08/04/2013,2017,Resale,HDB,20,56,567701,North East Region,Ang Mo Kio
THE PANORAMA,16 Ang Mo Kio Avenue 2  #12-20,1,42,Strata,710000,-,16905,1570,8-Feb-19,Condominium,99 Yrs From 08/04/2013,2017,Resale,Private,20,56,567699,North East Region,Ang Mo Kio
CHIP THYE GARDEN,8 Yio Chu Kang Gardens,1,207,Land,2800000,-,13500,1254,8-Feb-19,Terrace House,Freehold,1981,Resale,HDB,20,56,568058,North East Region,Ang Mo Kio
TEACHER'S HOUSING ESTATE,16 Kalidasa Avenue,1,232,Land,2300000,-,9935,923,8-Feb-19,Terrace House,999 Yrs From 02/12/1885,Unknown,Resale,Private,26,78,789395,North East Region,Ang Mo Kio
SEMBAWANG HILLS ESTATE,6 Jalan Lanjut,1,193,Land,2328000,-,12094,1124,1-Feb-19,Terrace House,Freehold,Unknown,Resale,Private,20,57,577650,North East Region,Ang Mo Kio
FAR HORIZON GARDENS,5 Ang Mo Kio Avenue 9  #03-02,1,181,Strata,1460000,-,8066,749,31-Jan-19,Condominium,99 Yrs From 08/03/1982,1986,Resale,Private,20,56,569760,North East Region,Ang Mo Kio
