apartmentId,rentalCost,maxOccupancy ,numberOfRooms,location,buildingId
1,768.16,2,4,POINT (1077.6979444315298 648.4427163702453),340
2,1014.55,2,1,POINT (-185.9292838076562 1520.3270983045118),752
3,1057.39,4,3,POINT (2123.0141855392585 5126.753457243003),639
4,1259.1,4,3,POINT (2103.6301776944765 4266.932930123476),397
5,411.5,1,4,POINT (7.0589743819342985 79.96163671849988),628
6,859.58,3,2,POINT (2250.85490611142 5251.3368306902885),533
7,982.11,3,4,POINT (486.8811262316384 2251.1260599901484),61
8,980.05,4,1,POINT (1233.4547558395932 1768.6111384755895),360
9,433.45,1,3,POINT (1274.2715913565519 1163.5051209752276),251
10,1104.33,3,4,POINT (-1697.0303105735857 1239.0301787057274),512
11,960.16,3,2,POINT (-341.9635948004018 1222.5966329871515),922
12,509.34,1,4,POINT (359.2567913319125 4138.105315267985),481
13,601.7,1,3,POINT (733.3292645996678 2093.8026404265943),760
14,758.99,3,2,POINT (2119.566426939381 5333.491746286379),646
15,1195.4,4,1,POINT (605.0252121382855 3081.898073815166),471
16,681.2,2,2,POINT (2211.1188040814286 5227.989103585554),533
17,698.59,2,3,POINT (2123.9062678259706 5021.749305819725),496
18,419.73,1,1,POINT (-733.4490637682554 1291.7750705612282),13
19,829.03,2,3,POINT (2231.8918158524557 4564.949488328515),200
20,1263.76,3,1,POINT (1294.8797998333248 4462.162809061927),33
21,857.75,3,1,POINT (2418.913601700183 4154.232521120825),94
22,696.8,3,3,POINT (-1396.3194484189332 2171.962600676111),809
23,794.25,2,4,POINT (-517.6567145846232 1675.8122265571778),212
24,611.76,1,3,POINT (607.6839706255785 2383.4941895708853),732
25,836.57,4,4,POINT (1784.5159809592985 3423.2709297455353),988
26,740.7,3,1,POINT (-1664.7143233539068 2058.9072198973454),826
27,1486.29,4,3,POINT (1572.5031676987496 4457.745004135188),145
28,709.61,3,2,POINT (1910.8047260903031 5326.192433295153),846
29,1097.73,4,1,POINT (1393.2352000452847 4920.767701988318),799
30,1135.74,3,4,POINT (573.0109209108848 1804.63524963616),834
31,749.32,2,2,POINT (-1406.9743418343592 896.4515376327631),363
32,872.66,4,4,POINT (1712.5031078849681 3255.0069762044836),138
33,698.63,3,1,POINT (1749.5557672904667 5245.7527151363665),469
34,1280.33,4,2,POINT (-1671.4929244370555 1509.7334090966851),992
35,1029.66,3,2,POINT (2050.180926104707 4335.0803589938605),921
36,1023.42,4,3,POINT (-513.818647913508 1863.5504336857932),43
37,496.54,1,1,POINT (-1234.6215038137211 1534.718942726612),903
38,839.46,3,4,POINT (1417.1760566368287 3332.468498865699),934
39,749.32,2,4,POINT (1068.300420731133 1266.8599518512474),144
40,888.46,2,4,POINT (503.21286336357514 2535.9764324651596),730
41,790.08,3,1,POINT (-1934.0445115651764 783.8901202563607),233
42,794.25,2,4,POINT (-584.6593803564347 1653.1374091367215),212
43,883.35,3,1,POINT (1060.9527895805502 488.26891188396814),796
44,1068.07,3,4,POINT (2253.3211062717032 4060.9279154409005),377
45,844.17,3,1,POINT (1267.2074937243829 1344.2032459918782),926
46,818.89,2,1,POINT (332.4271144442423 799.1239162888926),553
47,628.22,1,2,POINT (2115.8452080908246 4063.6161001643227),980
48,496.54,1,4,POINT (-1234.6215038137211 1448.7869027369825),903
49,428.87,1,1,POINT (2408.901432879168 4047.7974224702016),97
50,1302.17,3,3,POINT (1384.3957768227 3624.778668987212),134
51,455.39,1,2,POINT (2114.934830274308 5099.799243827387),639
52,751.67,3,2,POINT (-1844.8861722131728 1645.3299966099307),281
53,817.46,4,2,POINT (-2025.813803104962 1958.7809422263379),217
54,749.32,2,1,POINT (1175.0720102138607 1558.1560150626235),756
55,502.03,1,4,POINT (2153.389571449563 4760.551377277387),309
56,808.97,4,3,POINT (1810.3718590599055 5143.560776617284),764
57,914.44,3,1,POINT (-519.7323384216126 1799.7941060348785),955
58,665.25,2,3,POINT (-1473.1756324816884 954.9226790202229),188
59,379.49,1,1,POINT (2259.3425408722505 5333.491746286379),646
60,492.88,1,3,POINT (-1378.1087734767887 1346.2496064140034),579
61,1125.81,4,3,POINT (1043.4969169856518 1456.3078648565347),919
62,794.25,2,3,POINT (-450.65404881281165 1698.4870439776341),212
63,1140.2,4,4,POINT (501.0400177552985 2280.4328579134835),61
64,1104.33,3,2,POINT (663.3720396817216 3786.540333108135),1021
65,1020.52,3,2,POINT (2229.2515086489993 4472.603755319368),750
66,1135.74,3,3,POINT (1603.441866432816 4025.5633312874506),854
67,834.83,2,1,POINT (-1612.0532361578762 1166.4467472312872),461
68,1097.73,4,2,POINT (-462.1930332241808 1227.9869499730305),167
69,514.83,1,1,POINT (2050.180926104707 4374.926623500649),921
70,422.08,1,4,POINT (820.2880333847281 335.2976113816195),245
71,560.55,1,1,POINT (591.1622082693203 626.2207921626187),477
72,395.04,1,3,POINT (-726.5390497675858 1381.9337094162383),400
73,702.29,3,3,POINT (-1340.7911019175422 2119.6917523263082),122
74,846.42,2,3,POINT (2233.214439882725 4053.359048843635),377
75,1562.73,4,1,POINT (588.1769004542509 1516.0341391439815),699
76,702.29,3,1,POINT (-1328.614452264042 2167.516377015989),122
77,1090.02,3,2,POINT (47.52110619662399 947.513748612111),656
78,1246.43,4,4,POINT (1148.2831748145966 1631.175142849736),839
79,945.53,3,2,POINT (-522.4167300912522 1601.4949940725462),119
80,550.49,1,3,POINT (589.7126864665483 3461.117029912494),763
81,940.61,4,2,POINT (618.624018010996 419.60786747728764),564
82,1146.71,3,1,POINT (45.01782408669524 1116.5915531251405),319
83,480.08,1,3,POINT (223.3754341990981 1819.3960275496556),786
84,376.75,1,4,POINT (2466.0788073692256 5201.152719159174),608
85,1152.94,4,2,POINT (-1608.0622168774594 1658.4315678191297),153
86,482.83,1,1,POINT (-1678.956089260646 1142.0070197576047),515
87,1223,4,2,POINT (-1350.7863871473114 1237.862916004378),359
