buildingId,location,buildingType,maxOccupancy,units
1,"POLYGON ((350.0638997002585 4595.665606173783, 390.0632568061789 4595.892390461278, 390.6810201497753 4486.933622371929, 323.6754997155391 4488.923908968658, 324.8980852269488 4595.180890652538, 350.0638997002585 4595.665606173783))",Commercial,,
2,"POLYGON ((-1926.972613718425 2725.6106868067013, -1948.1911073943602 2730.2396710432536, -1950.043454710512 2689.3931580987587, -1927.961540927384 2690.2408271855193, -1926.4271717193399 2650.2702666298624, -1990.3291714251134 2647.817229711742, -1979.7291802700934 2799.382113824957, -1906.114239251982 2821.222005422068, -1926.972613718425 2725.6106868067013))",Residental,12,"[481,498,534,652,818]"
3,"POLYGON ((685.6846002015491 1552.131491805318, 645.9984579654256 1547.1304804661822, 636.5853901997245 1621.829040596308, 703.9380706987579 1615.1228642032038, 699.9749442803104 1575.3196780368753, 682.5438556044546 1577.0552578908323, 685.6846002015491 1552.131491805318))",Commercial,,[382]
4,"POLYGON ((-976.7845160060303 4542.38209636188, -1053.2884499022387 4531.358306034926, -1056.0555410529619 4550.561624694034, -1091.3493799087462 4549.711435534643, -1091.8719870266211 4500.41136929559, -1131.8697397888218 4500.835366906286, -1130.9375918842334 4588.769403525762, -1040.1177396918295 4590.957152331071, -1039.7027342497188 4573.729062515603, -1039.0202193965622 4591.044214481681, -971.5030459870536 4600.162331555006, -976.7845160060303 4542.38209636188))",Commercial,,
5,"POLYGON ((1259.3061988755617 3572.726728111263, 1299.2551414386758 3574.7471211643597, 1300.8137303929534 3561.3229787164305, 1340.3758126560817 3566.0817238989043, 1350.9513843281811 3478.161143908165, 1263.5072548234607 3489.659850352099, 1259.3061988755617 3572.726728111263))",Residental,2,[231]
6,"POLYGON ((478.8968938877053 1082.483578190312, 473.6595616641966 1138.46815749311, 577.7005952625364 1112.8940310713776, 573.758395924004 1073.0887667916961, 478.8968938877053 1082.483578190312))",Commercial,,
7,"POLYGON ((-1920.82250861249 615.7447300702404, -1960.8182049681732 616.3314779070522, -1959.1075198877122 732.9404140559916, -1919.1118235320291 732.3536662191798, -1920.82250861249 615.7447300702404))",Residental,,
8,"POLYGON ((-3302.6571685727663 5394.354254898086, -3301.511925330985 5354.3706530353575, -3392.128176514021 5351.775147767493, -3390.83179127376 5436.3218060798135, -3209.462858148489 5439.4911534947805, -3209.3931916043307 5399.491214162669, -3351.4206471895427 5397.611603210689, -3302.6571685727663 5394.354254898086))",Commercial,,[1339]
9,"POLYGON ((-600.5789029025826 4429.228144083635, -495.95058663231987 4423.020162384654, -492.1702200210292 4328.311922969974, -532.1383924335621 4326.7165565537425, -534.4742483989569 4385.235961880223, -699.206833213364 4392.703771207256, -791.5014618049669 4386.5548484235205, -794.1604775496327 4426.4663710112345, -600.5789029025826 4429.228144083635))",Commercial,,
10,"POLYGON ((-68.7590805823558 5379.924275185856, -28.7823185505349 5381.287542383129, -26.265304152138356 5307.478031058738, -129.18135541676463 5308.960290539087, -128.60531086405254 5348.956142482423, -67.67309419664548 5348.078559688446, -68.7590805823558 5379.924275185856))",Residental,5,"[1050,1233]"
11,"POLYGON ((-4643.806579378203 7582.336041863482, -4645.876335490044 7622.28245734269, -4561.710616306387 7626.643362059622, -4559.640860194547 7586.696946580414, -4643.806579378203 7582.336041863482))",Residental,12,"[1390,1459,1499,1563,1650]"
12,"POLYGON ((-3685.5943630363445 6143.659933750643, -3725.354652730716 6139.2873643207, -3733.3447108143137 6211.94190512758, -3653.4014193054854 6199.026379671507, -3659.781041384991 6159.538401474052, -3687.8390809742973 6164.071418788246, -3685.5943630363445 6143.659933750643))",Commercial,,
13,"POLYGON ((-749.0585109383871 1334.2620786168518, -709.2812490682998 1330.0466974812373, -717.8396165981238 1249.2880625056046, -757.6168784682112 1253.503443641219, -749.0585109383871 1334.2620786168518))",Residental,5,"[18,172]"
14,"POLYGON ((-1807.495357710132 1696.6786523634526, -1812.010195662427 1785.0044327481708, -1748.141629329802 1778.7031593651946, -1740.4468183195354 1688.8283279771033, -1766.9169575196374 1686.5620347845108, -1762.437644763208 1600.1887699028202, -1802.3839639403736 1598.117155991875, -1807.495357710132 1696.6786523634526))",Residental,1,[214]
15,"POLYGON ((-2126.638956760798 4784.6473012341985, -2126.4806169841895 4824.646987839411, -2046.2416475951593 4824.329359838628, -2045.704946716223 4754.880894947136, -2125.326652563964 4756.853376611779, -2126.638956760798 4784.6473012341985))",Commercial,,
16,"POLYGON ((-521.3793769801546 1273.0645851640613, -516.4357299705365 1350.5472528990276, -430.36874494495254 1352.0883351855693, -410.0083338959228 1263.7715652689776, -521.3793769801546 1273.0645851640613))",Commercial,,
17,"POLYGON ((-2327.9933527625853 5290.654755084954, -2244.696921056228 5284.370268887019, -2058.790362141804 5300.116839661515, -2054.531286644661 5260.344232556755, -2244.9590816764608 5244.2763640022295, -2419.410060024933 5265.576094717962, -2412.7268791441657 5305.01383163725, -2327.9933527625853 5290.654755084954))",Commercial,,"[837,883]"
18,"POLYGON ((2001.115196344478 4438.479399320588, 1998.6867171010845 4478.676015076546, 2069.011983453543 4474.768762208496, 2070.657406746485 4408.117832539578, 2002.876491598248 4409.326130359697, 2001.115196344478 4438.479399320588))",Residental,9,"[145,227,247]"
19,"POLYGON ((2474.280674031225 5499.711719799282, 2514.253010329108 5498.224329168355, 2510.993767430654 5410.634996208564, 2471.021431132771 5412.122386839491, 2474.280674031225 5499.711719799282))",Residental,,
20,"POLYGON ((-1771.8353224833647 1841.3320861275981, -1690.416285555175 1835.8067929352114, -1689.57853470986 1913.2971224292046, -1649.5808720755365 1912.8647062051245, -1650.8651160666657 1794.0746260997835, -1812.4392613576294 1805.143866628108, -1810.9814288400717 1893.2960222866923, -1770.9868976183511 1892.6346053570219, -1771.8353224833647 1841.3320861275981))",Residental,1,[94]
21,"POLYGON ((-4562.646078905723 7112.89188603888, -4602.614623266944 7111.305865343852, -4606.091384067305 7198.922041298027, -4566.122839706083 7200.508061993055, -4562.646078905723 7112.89188603888))",Residental,13,"[1388,1404,1426,1484,1534,1555,1632]"
22,"POLYGON ((-2473.136508836874 3132.3065332573983, -2433.138721728821 3132.727278380826, -2432.0367320746122 3027.9675434960836, -2557.0529482655943 3033.448916094649, -2555.300819900866 3073.4105232469337, -2472.478770330398 3069.779166236583, -2473.136508836874 3132.3065332573983))",Residental,7,"[451,661,733]"
23,"POLYGON ((-2771.6681663560653 5873.801637868778, -2770.8480467719032 5913.793229533372, -2635.4844387960056 5911.017287359954, -2636.3045583801677 5871.02569569536, -2771.6681663560653 5873.801637868778))",Commercial,,
24,"POLYGON ((1262.921080734639 3199.449639771722, 1222.9214240365247 3199.615362531181, 1223.1040869720007 3243.7037830618006, 1207.7220659159982 3244.8521160213745, 1207.7332706347474 3202.973686373792, 1167.7332720664444 3202.962984235777, 1167.7105333742034 3287.950456441925, 1263.2581959510972 3280.817419128567, 1262.921080734639 3199.449639771722))",Residental,5,"[326,327,331]"
25,"POLYGON ((-472.26586900112204 1592.1101776482656, -481.394568896596 1631.0545846692794, -399.8461953437473 1650.1697975091174, -422.1768955776205 1557.2696972746799, -461.06909090333085 1566.6183411734917, -453.9071243585118 1596.413529095101, -472.26586900112204 1592.1101776482656))",Commercial,,
