Country Name,Country Code,Series Name,Series Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,179.4265792,190.6838143,211.3820742,242.0313132,263.7336019,359.6931579,364.663542,437.2687402,543.3065262,591.1900302,638.8458516,624.3154545,614.2233424,556.0072209,512.0127781,516.6798622,485.6684187,494.1793499,516.7478708
Afghanistan,AFG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,877.0142683,927.857548,925.4414292,1023.051749,1077.76154,1228.703863,1272.572975,1519.692923,1710.575411,1699.48811,1914.774228,2015.514775,2069.424022,2087.305323,1981.118069,2058.400221,2082.635648,2152.366489,2078.648615
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,..,..,4055179566,4515558808,5226778809,6209137625,6971285595,9747879532,10109305183,12416161049,15856678596,17805113119,19907317066,20146404996,20497126770,19134211764,18116562465,18753469630,18053228579,18799450743,20116137326
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,1126.68334,1281.659826,1425.124219,1846.120121,2373.581292,2673.786584,2972.742924,3595.038057,4370.539925,4114.134899,4094.348386,4437.142612,4247.630047,4413.062005,4578.633208,3952.802538,4124.05539,4531.019374,5287.663694,5395.659532,5246.096346
Albania,ALB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3860.804627,4299.546493,4661.402695,5000.049363,5427.732662,5865.301904,6566.572828,7283.342638,8228.348041,8813.029461,9628.721962,10207.76757,10526.25918,10570.96373,11259.26751,11658.90552,12078.84314,12770.96429,13498.11653,13998.02565,13412.09728
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,3480355258,3922100794,4348068242,5611496257,7184685782,8052073539,8896072919,10677324144,12881353508,12044208086,11926922829,12890764531,12319830437,12776220507,13228147516,11386850130,11861199831,13019689337,15156432310,15400242875,14887629268
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,54790392746,54744712815,56760355865,67863828413,85332581189,1.03198E+11,1.17027E+11,1.34977E+11,1.71001E+11,1.37211E+11,1.61207E+11,2.00013E+11,2.09059E+11,2.09755E+11,2.1381E+11,1.65979E+11,1.60034E+11,1.70097E+11,1.74911E+11,1.71767E+11,1.45009E+11
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,1765.027146,1740.606654,1781.828908,2103.381291,2610.185422,3113.094883,3478.710002,3950.512993,4923.631615,3883.2709,4480.786318,5455.679403,5592.220115,5499.587331,5493.056695,4177.889542,3946.452447,4109.698217,4142.018558,3989.668276,3306.858208
Algeria,DZA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,8446.587741,8775.117907,9293.837143,10019.35789,10591.03819,11405.64252,11776.0404,12311.03843,12643.15148,12722.37869,13095.44918,13500.04479,13303.32752,13056.80259,13003.26686,12015.64053,11624.34078,11737.40124,11909.92982,12009.24821,11324.23581
American Samoa,ASM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
