participantId,householdSize,haveKids,age,educationLevel,interestGroup,joviality
0,3,TRUE,36,HighSchoolOrCollege,H,0.001626703
1,3,TRUE,25,HighSchoolOrCollege,B,0.3280865
2,3,TRUE,35,HighSchoolOrCollege,A,0.39346959
3,3,TRUE,21,HighSchoolOrCollege,I,0.138063446
4,3,TRUE,43,Bachelors,H,0.857396691
5,3,TRUE,32,HighSchoolOrCollege,D,0.772957791
6,3,TRUE,26,HighSchoolOrCollege,I,0.833980668
7,3,TRUE,27,Bachelors,A,0.958189409
8,3,TRUE,20,Bachelors,G,0.697554819
9,3,TRUE,35,Bachelors,D,0.467131409
10,3,TRUE,48,HighSchoolOrCollege,D,0.557176006
11,3,TRUE,27,HighSchoolOrCollege,F,0.25422732
12,3,TRUE,34,HighSchoolOrCollege,D,0.241615182
13,3,TRUE,18,Bachelors,J,0.724503834
14,3,TRUE,38,Graduate,H,0.930003289
15,3,TRUE,35,HighSchoolOrCollege,I,0.232266068
16,3,TRUE,39,Bachelors,J,0.392189088
17,3,TRUE,57,Bachelors,I,0.114667399
18,3,TRUE,20,Graduate,I,0.32696558
19,3,TRUE,25,Bachelors,B,0.486470164
20,3,TRUE,41,HighSchoolOrCollege,I,0.619057739
21,3,TRUE,35,Low,E,0.931240975
22,3,TRUE,25,HighSchoolOrCollege,E,0.663815663
23,3,TRUE,57,Low,B,0.260211811
24,3,TRUE,44,Bachelors,D,0.607328128
25,3,TRUE,38,HighSchoolOrCollege,J,0.520535752
26,3,TRUE,28,HighSchoolOrCollege,F,0.549177225
27,3,TRUE,45,HighSchoolOrCollege,D,0.135148815
28,3,TRUE,54,Bachelors,A,0.230073813
29,3,TRUE,18,Low,C,0.607853294
30,3,TRUE,49,HighSchoolOrCollege,C,0.681423545
31,3,TRUE,40,Graduate,F,0.23266675
32,3,TRUE,33,HighSchoolOrCollege,C,0.189498641
33,3,TRUE,21,Bachelors,D,0.094585958
34,3,TRUE,23,Low,B,0.767112453
35,3,TRUE,20,Low,J,0.707950782
36,3,TRUE,41,Graduate,G,0.348019484
37,3,TRUE,54,HighSchoolOrCollege,G,0.174975799
38,3,TRUE,34,Low,D,0.215116214
39,3,TRUE,54,Bachelors,G,0.862950926
40,3,TRUE,55,Low,I,0.880410054
41,3,TRUE,41,HighSchoolOrCollege,F,0.863663966
42,3,TRUE,24,HighSchoolOrCollege,J,0.055283617
43,3,TRUE,48,Bachelors,E,0.045228735
44,3,TRUE,39,Low,C,0.976499153
45,3,TRUE,50,Graduate,E,0.179657824
46,3,TRUE,47,HighSchoolOrCollege,D,0.225049088
47,3,TRUE,58,HighSchoolOrCollege,C,0.424159724
48,3,TRUE,42,HighSchoolOrCollege,F,0.485827661
49,3,TRUE,54,Graduate,D,0.229589642
50,3,TRUE,45,HighSchoolOrCollege,H,0.576174771
51,3,TRUE,26,Graduate,G,0.374354513
52,3,TRUE,39,HighSchoolOrCollege,B,0.730126771
53,3,TRUE,19,Low,H,0.140697641
54,3,TRUE,32,Graduate,I,0.778504463
55,3,TRUE,37,HighSchoolOrCollege,J,0.770806686
56,3,TRUE,40,Graduate,G,0.734056857
57,3,TRUE,56,Graduate,A,0.422849796
58,3,TRUE,40,Graduate,J,0.192945633
59,3,TRUE,35,Bachelors,C,0.186308253
60,3,TRUE,46,HighSchoolOrCollege,D,0.411129251
61,3,TRUE,44,HighSchoolOrCollege,F,0.598278749
62,3,TRUE,57,Bachelors,A,0.491406814
63,3,TRUE,36,HighSchoolOrCollege,G,0.583943591
64,3,TRUE,52,HighSchoolOrCollege,I,0.330606159
65,3,TRUE,23,HighSchoolOrCollege,I,0.498178653
66,3,TRUE,51,Bachelors,J,0.773765426
67,3,TRUE,19,HighSchoolOrCollege,C,0.438788793
68,3,TRUE,42,HighSchoolOrCollege,G,0.519538618
69,3,TRUE,24,Bachelors,B,0.743901318
70,3,TRUE,49,HighSchoolOrCollege,D,0.72544679
