NAME,ADDRESS,POSTCODE,XCOORD,YCOORD,OUTLET TYPE,Gp1Gp2 Winnings
Livewire (Marina Bay Sands),"2 Bayfront Avenue, #01-01 The Shoppes at Marina Bay Sands   Singapore 018972",18972,30841.5597,29598.565,Branch,5
Livewire (Resorts World Sentosa),26 Sentosa Gateway #B1-208   Singapore 098138,98138,26703.8717,26525.699,Branch,11
SportsBuzz (Kranji),"Lotus Lounge, Level 2, 1 Turf Club Avenue Singapore Racecourse   Singapore 738078",738078,20117.9342,44888.0601,Branch,0
SportsBuzz (PoMo),1 Selegie Rd PoMo #01-01   Singapore 188306,188306,29776.9544,31382.1849,Branch,44
Prime Serangoon North,Blk 542B Serangoon North Ave 3 #02-01   Singapore 552542,552542,32238.6895,39518.7648,Branch,0
Singapore Pools Woodlands Centre,1A Woodlands Centre Road #01-26   Singapore 731001,731001,21012.1477,46987.3186,Branch,3
Singapore Pools 64 Circuit Rd Branch,Blk 64 Circuit Rd #01-355   Singapore 370064,370064,33990.3867,34355.5268,Branch,17
Singapore Pools 88 Circuit Rd Branch,Blk 88 Circuit Rd #01-961   Singapore 370088,370088,33847.3816,33976.0384,Branch,16
Singapore Pools Anchorvale Rd Branch,Blk 308 Anchorvale Rd #01-05   Singapore 540308,540308,33909.9294,41274.5191,Branch,21
Singapore Pools Ang Mo Kio N2 Branch,Blk 202 Ang Mo Kio Ave 3 #01-1662/1664   Singapore 560202,560202,29246.0643,38942.5987,Branch,25
Singapore Pools Ang Mo Kio N2A Branch,Blk 226A Ang Mo Kio Ave 1 #01-625   Singapore 561226,561226,28663.5864,38836.0958,Branch,22
Singapore Pools Ang Mo Kio N4 Branch,Blk 447 Ang Mo Kio Ave 10 #01-1685   Singapore 560447,560447,30520.751,38834.7589,Branch,25
Singapore Pools Ang Mo Kio N6 Branch,Blk 630 Ang Mo Kio Ave 4 #01-968   Singapore 560630,560630,28862.4499,40278.2253,Branch,31
Singapore Pools Ang Mo Kio N7 Branch,Blk 726 Ang Mo Kio Ave 6 #01-4158   Singapore 560726,560726,29461.341,39420.9746,Branch,27
Singapore Pools Balestier Rd Branch,Blk 2 Balestier Rd #01-641   Singapore 320002,320002,29061.585,34234.9389,Branch,9
Singapore Pools Bedok North Branch,Blk 509 Bedok North St 3 #01-129   Singapore 460509,460509,38881.0986,35029.4514,Branch,13
Singapore Pools Bedok Town Centre Branch,Blk 204 Bedok North Street 1 #01-415   Singapore 460204,460204,38779.6775,34246.3019,Branch,5
Singapore Pools Beo Crescent Branch,Blk 36 Beo Crescent #01-45   Singapore 160036,160036,27316.1698,30080.2699,Branch,15
Singapore Pools Bishan N1 Branch,Blk 152 Bishan St 11 #01-211   Singapore 570152,570152,30373.1713,36422.4437,Branch,14
Singapore Pools Bishan N2 Branch,Blk 279 Bishan St 24 #01-52   Singapore 570279,570279,29183.7498,37727.0741,Branch,21
Singapore Pools Bukit Batok Central Branch,Blk 641 Bukit Batok Central #01-46   Singapore 650641,650641,18878.7185,36790.2988,Branch,37
Singapore Pools Bukit Batok N3 Branch,Blk 324 Bukit Batok St 33 #01-47   Singapore 650324,650324,18464.4221,38247.1701,Branch,11
Singapore Pools Bukit Gombak Branch,Blk 374 Bukit Batok St 31 #01-170   Singapore 650374,650374,18794.5687,37738.3187,Branch,30
Singapore Pools Bukit Panjang Branch,Blk 257 Bangkit Rd #01-49   Singapore 670257,670257,21310.9273,40054.0922,Branch,42
Singapore Pools Canberra Link Branch,Blk 505 Canberra Link #01-02   Singapore 750505,750505,26803.0712,47987.1332,Branch,20
Singapore Pools Chai Chee Branch,Blk 36 Chai Chee Ave #01-167   Singapore 461036,461036,38250.9551,34176.5844,Branch,14
Singapore Pools Changi Rd Branch,324K Changi Rd   Singapore 419799,419799,36320.8611,33354.6498,Branch,13
Singapore Pools Cheong Chin Nam Rd Branch,5 Cheong Chin Nam Rd   Singapore 599730,599730,21536.1841,36071.2567,Branch,11
Singapore Pools Chin Swee Branch,Blk 52 Chin Swee Rd #01-65/69   Singapore 160052,160052,28918.9838,29944.402,Branch,20
Singapore Pools Chinatown Point Branch,"133 New Bridge Road, Chinatown Point #01-36   Singapore 059413",59413,29299.7691,29740.086,Branch,0
Singapore Pools Choa Chu Kang Branch,Blk 303 Choa Chu Kang Ave 4 #01-721   Singapore 680303,680303,18037.252,40722.0307,Branch,41
Singapore Pools Clementi N3 Branch,Blk 325 Clementi Ave 5 #01-145   Singapore 120325,120325,20599.2016,33044.0803,Branch,26
