school_name,url_address,address,postal_code,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,sixth_vp_name,visionstatement_desc,missionstatement_desc,philosophy_culture_ethos,dgp_code,zone_code,cluster_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code,special_sdp_offered
NATIONAL JUNIOR COLLEGE,http://www.nationaljc.moe.edu.sg,37 HILLCREST ROAD,288913,64661144,na,64684535,na,NJC@MOE.EDU.SG,"BOTANIC GARDENS MRT, TAN KAH KEE MRT, SIXTH AVENUE MRT","151, 154, 156, 157, 170, 170X, 171, 174, 66, 67, 67A, 67W, 74, 852, 961, 961C",MR ANG POW CHEW,MR LIONG HUAI YU,MR HARMAN AUGUSTUS JOHLL,MR TAN YONG LIANG,na,na,na,NJCians demonstrate Loyalty with Integrity; Scholarship with Creativity; Leadership with Sensitivity,College of the Nation: Home of Scholars and Leaders who Serve with Honour,"We seek to create a joyful and lively learning community for students and staff. Every NJCian will leave with a distinctive and memorable experience. They will learn to serve with honour, to be loyal to family and Singapore, to be leaders sensitive to the needs of others, and to be creative in their approach to solving problems. They would have imbibed the values of civility, altruism, resilience and enterprise.",BUKIT TIMAH,SOUTH,SOUTH 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,MIXED LEVEL,No,No,No,Yes,Chinese,Malay,Tamil,"For the Integrated Programme (Junior High), we offer Language Arts (English & Literature), Chemistry, Physics, Biology, Governance & Society, Mathematics (both E and A Maths), History, Geography, Higher Mother Tongue and Mother Tongue for the first 4 years, as well as Integrated Sciences, Thinking, and General Arts Programme (Art and Music) for the first 2 years. Advanced Language Arts, Advanced Humanities and Man & Ideas are also offered to capable students at JH3 & JH4. The College offers a wide range of special programmes in various domains. They are: SPIRE (Special Programme in Inquiry and Research), Research@NJC, Accelerated Mathematics, Advanced Sciences, Art Elective Programme (AEP), NJC Music Programme, Enhanced Boarding Programme, Leadership,  Values-In-Action, Guidance Programmes, Humanities Scholarship Programme, Sapphire Programme and International Programmes.  Students may also offer a Third Language outside of College. Junior High 1 students undergo a special CCA programme known as CAFE, where students will attend one Sports or Performing Arts CCA in Term 1 and another in Term 2 before deciding which CCA to join for the rest of the JH (Sec) years. Students may also join any CCA under the Talent Management Scheme.  Note that H1, H2 and H3 subjects listed are only offered at Senior High (JC years)."
TEMASEK JUNIOR COLLEGE,http://temasekjc.moe.edu.sg,22 BEDOK SOUTH ROAD,469278,64428066,na,64428762,na,TEMASEK_JC@MOE.EDU.SG,BEDOK MRT,"12, 16, 31, 38, 47, 137, 155, 196, 197, 229",MDM SIM AY NAR,MDM TAN KIA HUAN,MR FOO YONG HOWE,MR MARK CHAN,na,na,na,"An Institute of Distinction, A Dynamic Learning Culture,  A Caring TJC Family","Broaden Minds, Touch Hearts, Enrich Lives","Every TJCian is nurtured to be a trailblazer with a heart. Mindful of tradition, roused by imagination and fuelled by ambition, TJCians are active learners, caring and committed citizens and ethical leaders. Our holistic brand of Temasek Excellence equips students with intellectual, moral and social capital to thrive in a  fast-changing and complex world. The college achieved the School Distinction Award in 2015, with Best Practices for Teaching & Learning, Student All-Round Development, Staff Well-being and Development, Character and Citizenship Education as well as Partnership. Our dynamic staff fraternity continuously innovate and hone our craft, as we guide our students to bring out the best in them. The motto we proudly serve is 'For College, For Nation'.",BEDOK,EAST,EAST 2,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,MIXED LEVEL,No,No,No,Yes,Chinese,Malay,Tamil,"The TJC 6-Year Integrated Programme provides a seamless progression of learning, empowering students beyond the basics by exposing them to both breadth and depth of knowledge, leading up to the GCE A-Level Examination in Year 6. The design of the 6-year IP curriculum supports integrative and interdisciplinary learning, extending 'Beyond Basics' through the core curriculum, 'Beyond Boundaries' through extended learning and 'Beyond Self' through student development. It aims at achieving 'Temasek Excellence', engendering in students greatness in intellect, character and leadership. IP students have a plethora of programmes to whet their appetites. Beginning from IP1, the Temasek Academy Unbound Programme develops talented students in areas of Mathematics, Sciences and English. Students participate in a variety of workshops, talks and seminars conducted by experts in relevant fields. Moreover, there are signature IP programmes such as those for special talent areas (academic, aesthetics, sports), World without Borders, Wonder.Observe.Weave! attachment to external organisations, ACE CCE Programme and Temasek Leadership Showdown.  In addition, there are Elective Programmes - Music Elective Programme (Year 1 to 6), Chinese Language Elective Programme (Year 3 to 6) and Humanities Programme (Year 3 to 6) - which lead outstanding students to the MOE Scholarships at Year 5."
VICTORIA JUNIOR COLLEGE,http://www.victoriajc.moe.edu.sg/,20 MARINE VISTA,449035,64485011,na,64438337,na,victoria_jc@moe.edu.sg,"Nearest MRT Stations:  Kembangan, Eunos","13, 16, 31, 36, 43, 48, 55, 135, 196, 196e, 197",MISS EK SOO BEN,MR GURUSHARAN SINGH S/O M SINGH,MR CHEONG TIEN BENG,MR HONG HENG YAN,na,na,na,LiVE like a Victorian - Legendary Spirit - Visionary Leadership - Extraordinary Service,"To ignite the imagination of all Victorians to create the future with conviction, courage and compassion",na,BEDOK,EAST,EAST 7,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,Yes,Chinese,Malay,Tamil,Arts Programme  Beyond Borders Programme Higher Education Guidance Programme Olympiad Training Programme Overseas Exchange Programme Scholarship and Mentoring Programme Victoria Science Research Talent Development Programme  Student Leadership Programme   Career Guidance and Work Attachment
EUNOIA JUNIOR COLLEGE,http://www.eunoiajc.moe.edu.sg,53 MOUNT SINAI ROAD,276880,63518388,na,63518399,na,eunoiajc@moe.edu.sg,"Buona Vista MRT Station, Dover MRT Station","92, 100, 105, 106, 111, 147, 185",MDM CHEANG MEI HENG,MR POH CHUN LECK,MR TAY JUNCHENG ADRIAN,MR MOHAMAD AMRAN SHAH BIN ABD RAHIM,na,na,na,"Every Eunoian a Youth with Purpose, Thinker with Heart, Leader with Courage","We Enable students to learn continuously, Empower students to seek all-round excellence, and Embolden students to pursue their purpose.",na,BISHAN,NORTH,NORTH 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,Yes,Chinese,Malay,Tamil,Environmental Literacy Programme Leadership Advancement Programme Liberal Arts Programme Life Coaching Programme Passion Pursuit STEM Research Programme Talent Development Programme World Readiness Programme
ANDERSON SERANGOON JUNIOR COLLEGE,www.asrjc.moe.edu.sg,4500 ANG MO KIO AVENUE 6,569843,64596822,na,64598734,na,asrjc@moe.edu.sg,Yio Chu Kang MRT Station,"13, 45, 86, 162, 269, 825, 851, 852, 853",MR MANOGARAN S/O SUPPIAH,na,na,na,na,na,na,na,na,na,ANG MO KIO,NORTH,NORTH 5,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,Chinese,Malay,Tamil,Science Research and Enrichment Programme; Civics Education; Education & Career Guidance; Student Leadership Development & Talent Management Programme; Global Outreach Programme
YISHUN INNOVA JUNIOR COLLEGE,http://www.yijc.moe.edu.sg/,3 YISHUN RING ROAD,768675,62579873,na,62574373,na,yijc@moe.edu.sg,"Yishun, Khatib","800, 812, 167, 169, 171, 980",MR MICHAEL DE SILVA,na,na,na,na,na,na,na,na,na,YISHUN,NORTH,NORTH 8,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,Chinese,Malay,Tamil,"Digital Literacies Programme, Student Leadership Development Programme, Humanities Experience, Science Programme, Talent Development Programme, Internationalisation Programme"
TAMPINES MERIDIAN JUNIOR COLLEGE,http://www.tmjc.moe.edu.sg,21 PASIR RIS STREET 71,518799,63493660,na,63493667,na,na,Pasir Ris MRT Station,"3, 39, 53, 81, 89, 109, 358, 518",MISS YOONG NYOK KE PAMELA,na,na,na,na,na,na,na,na,na,PASIR RIS,EAST,EAST 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,Chinese,Malay,Tamil,"Character & Citizenship Development: Nurtures students to have a personal vision and be anchored in values and principles in the pursuit of their vision.  Educational & Career Guidance: Equips every student with the knowledge and skills to make informed decisions about their future pursuits, and grooms future leaders and scholars with the capacity to excel in challenging undertakings.  Leadership Development: Provides opportunities for students to build and develop their leadership capacities.  Global Education: Provides opportunities for students to be exposed to Asia and the world so that they are more aware of Singapore's global position. The programmes also develop 21st Century Competencies of global awareness and cross cultural skills and sensitivities, and inspire the heart and will to lead and serve in a challenging world.  Seminar Series: Provides opportunities for students to be connected with speakers from a diverse range of academic, industrial and social fields that will allow participants to gain deeper knowledge on local and global issues. These seminars are also platforms for students to develop as critical thinkers and confident, coherent communicators in engaging visiting speakers.  Values in Action & Service-Learning: Nurtures students to have the passion to serve and the initiative to take on service-learning.  Instructional Programme Enrichment: Fosters a strong culture of learning through a variety of departmental enrichment activities and learning journeys, taking learning beyond the classroom. These include Olympiad competitions, external research attachments and summer programmes.  Scholarships and Awards: In addition to MOE scholarships and awards, our College also offers internal scholarships."
JURONG PIONEER JUNIOR COLLEGE,http://jpjc.moe.edu.sg,21 TECK WHYE WALK,688258,+65 6564 6878,na,+65 6765 1861,na,jpjc@moe.edu.sg,Choa Chu Kang / Bt Panjang / Phoenix Station (LRT),"975, 190, 985",DR HANG KIM HOO,na,na,na,na,na,na,na,na,na,CHOA CHU KANG,WEST,WEST 2,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,Chinese,Malay,Tamil,"Arts and Aesthetics; Science, Technology, Engineering and Mathematics (STEM) Programme; Talent Development Programme; Internationalisation Programme; Xinyao"
CATHOLIC JUNIOR COLLEGE,http://www.cjc.edu.sg,129 WHITLEY ROAD,297822,62524083,na,62537267,na,catholic_jc@moe.edu.sg,Toa Payoh MRT Station Novena MRT Station Orchard MRT Station,"105, 132, 151, 153, 154, 156, 186, 996, 985",MDM CHUA SUAN GEK PHYLLIS,MR TAN JEK SUAN,MDM KAM WAI CHIN,MR GAN THIAM SOON ALLAN,na,na,na,"Building a Generation In Truth & Love: Every CJCian to be a Thinker with a Mission, Leader with a Heart","We cultivate in each young person the skill and attitude to embrace challenges wisely and courageously. We foster a community that cares for the dignity of young people, nurturing them to be men and women of compassion. We broaden their vision so that they become leaders committed to serve in faith and with integrity.",na,NOVENA,SOUTH,SOUTH 5,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,na,na,na,Religious / Ethics Programme Overseas Community Projects (10 countries 2008) National Youth Achievement Award (NYAA)  Integrated Leadership Development COL@C : Curriculum Online At CJC
ANGLO-CHINESE JUNIOR COLLEGE,http://www.acjc.edu.sg,25 DOVER CLOSE EAST,139745,67750511,na,67775479,na,acjc@acjc.edu.sg,Buona Vista,"74,95,100,105,106,111,145,147,191,196,198,602",DR CHEE YAN HOON SHIRLEEN,MDM SEOW HONG KIANG,MRS LEE BEE CHEOW,MS YEE TIEN PAO JAMIE AMANDA,na,na,na,"Noble Ambition and Character, for the Service of God and nation.","ACJC is a Methodist Institution committed to an all-round education of the highest standards based on Christian principles and a consciousness of self, others and God.",na,QUEENSTOWN,WEST,WEST 1,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,na,na,na,"MOE Music and Drama Elective, MOE Humanities and Pre-U Scholarships,  Science Research Programme, ACJC-A*STAR Science Research Symposium, Humanities Symposia, ACJC-EDB Entrepreneurship Education Programme, Performing Arts Programme, ACJC Seminar Series, Extensive Community Involvement Programmes"
