employerId,location,buildingId
379,POINT (-1849.997168394888 1744.6010147106394),823
380,POINT (41.51783767879146 418.7264799744545),154
381,POINT (877.2786575380362 1358.5441805909259),279
382,POINT (670.3987400004884 1584.4743462106067),3
383,POINT (829.9556783260775 2163.4803049897623),146
384,POINT (880.1644882398598 4339.7016557216575),527
385,POINT (231.13884534051988 1095.6471792268785),782
386,POINT (-1349.8842287593952 1610.4623628717086),596
387,POINT (864.9382009582821 1556.3972795892669),880
388,POINT (611.8427226577171 2550.7250184246723),986
389,POINT (1749.107722959826 4023.6598528872755),1020
390,POINT (994.4462620941047 3762.3654281251634),347
391,POINT (609.8156412485578 787.4692664792319),632
392,POINT (-885.2966139548657 1555.9764946386085),315
393,POINT (903.9691099852218 4220.741537877808),592
394,POINT (865.149408963124 982.7393731902811),893
395,POINT (286.586327845334 1725.5999247626096),230
396,POINT (868.902110395577 4390.34074468453),590
397,POINT (1499.3204774627252 4304.553083816536),351
398,POINT (754.0987512384932 1394.0500627767071),692
399,POINT (1626.36173317109 4226.189405838731),180
400,POINT (753.1769059100845 1739.395851679909),227
401,POINT (-1674.8630003427375 1638.1520588255166),623
402,POINT (1004.1152674725888 4462.540163068401),717
403,POINT (2026.3999572104358 4142.402774048681),1023
404,POINT (2630 4050),103
405,POINT (1535.4111740520664 4021.741043075247),982
406,POINT (973.2374190327052 3805.640410966102),347
407,POINT (1105.2630658126443 3730.801103253373),1033
408,POINT (412.9860808984934 1033.1806025214216),516
409,POINT (1207.490101417887 4007.885706041321),225
410,POINT (1376.3976505541523 4822.779542501879),1024
411,POINT (916.9315425022253 4292.958506850986),527
412,POINT (496.2476568904982 1686.1524496266945),1009
413,POINT (917.1190165763343 2102.895037900609),354
414,POINT (-82.06554016401982 1511.1129553803012),983
415,POINT (1496.4456131589884 4021.741043075247),982
416,POINT (507.31810222892034 1381.6774426214972),493
417,POINT (-903.1271422325927 1570.7679946298354),315
418,POINT (789.621374888836 1269.8729153421614),472
419,POINT (660.2070252315734 3532.331326221758),511
420,POINT (1677.4145716575592 4234.689307976414),795
421,POINT (813.0476801480482 4199.837241599387),479
422,POINT (1273.4344092361837 1252.930095226732),317
423,POINT (650.4125958509642 1744.50624697462),304
424,POINT (39.59877121487088 1259.7742218297456),936
425,POINT (-328.8906021165615 1795.1079117198856),946
426,POINT (-904.2325319573049 1335.9506479412894),256
