Origin,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China","Macedonia, FYR",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe
Afghanistan,0,0,0,0,0,0,0,9,0,0,45610,36607,182,0,680,0,0,280,21535,0,0,4,0,1,0,0,70,0,483,0,0,0,0,0,47605,0,0,0,0,19,685,122,0,0,0,9,0,0,0,0,11,1107,12794,0,0,8,82,198,0,0,0,32,0,3,0,4280,4832,0,0,0,40,253485,0,6216,0,0,0,0,2,0,0,0,0,0,1418,21,8005,0,2324884,318,496,0,2584,8884,0,0,62,0,241,0,0,0,0,2908,0,0,31,0,0,0,327,0,19,0,0,0,0,0,507,0,0,1,0,2,0,13,0,103,0,0,0,0,0,0,39,0,33040,0,2607,62,0,0,0,14235,0,1515738,0,7,0,0,7,1258,152,9,3,1602,9,5098,0,0,0,0,435810,0,0,0,0,0,0,174,25,0,0,155,0,462,132,0,0,0,0,0,0,0,31267,7170,1826,7704,0,1,0,0,0,0,0,38692,0,0,0,0,2133,7813,65000,94726,0,433,1,14,0,0,0,0,0,0
Albania,0,0,0,0,0,0,0,77,0,4,3650,3656,0,0,0,0,0,0,10573,0,0,3,0,1,12,0,0,0,1706,0,0,0,0,0,15823,0,0,0,0,31,0,52,0,0,0,7,0,168,114,0,327,647,398,0,0,29,106,124,0,0,0,24,0,0,0,418,6796,0,0,0,10,45000,0,429428,0,0,0,0,10,0,0,0,0,0,271,58,0,0,0,0,774,0,0,449663,0,0,9,0,68,0,0,0,0,0,0,0,4,0,0,0,307,0,15,318,0,67924,0,0,0,0,0,106,0,0,0,2,0,0,0,0,19775,0,0,0,0,0,1536,0,0,2,0,0,0,1228,0,0,0,10,0,0,8,119,135,52,0,0,755,234,0,0,35,0,0,0,463,0,0,0,0,102,141,0,0,268,0,2390,0,0,0,0,0,0,0,0,2569,2797,0,0,0,0,0,0,0,0,0,4906,0,0,0,0,132,0,25000,93033,0,0,0,19,102,0,0,0,0,0
Algeria,0,0,0,0,0,0,0,210,0,3,1560,1618,0,0,0,0,0,52,26431,0,0,10,0,3,0,0,224,0,555,0,0,0,0,0,59389,0,0,0,0,55,554,26,0,0,0,12,0,54,49,0,42,1380,920,0,0,88,71,1478,1,0,0,24,0,3,0,866,1455780,811,106,0,17,23349,15,1082,0,0,0,0,6843,0,0,0,3,0,789,47,0,0,0,0,1269,0,44553,22039,0,0,346,0,162,0,0,0,0,0,0,0,17,0,0,0,3669,0,12,107,0,0,2953,0,72,0,4524,65,0,3505,0,86,0,0,30,0,0,17637,0,0,448,0,3937,823,0,115,537,0,0,1240,0,33,0,13,0,0,23,476,625,240,0,0,171,778,0,0,0,0,0,4086,52,0,0,0,0,111,83,61,0,738,0,63635,0,0,0,0,0,0,0,0,3022,9548,0,133,0,0,0,0,0,0,11775,960,0,0,0,0,215,0,24000,19316,21,0,4,96,0,0,0,0,0,0
American Samoa,0,0,0,0,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1079,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,1812,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Andorra,0,0,0,0,0,0,0,47,0,0,30,2,0,0,0,0,0,0,45,0,0,1,0,0,0,0,12,0,1,0,0,0,0,0,40,0,0,0,0,11,0,49,0,0,0,4,0,0,7,0,0,32,2,0,0,0,0,0,0,0,0,0,0,0,0,1,996,0,0,0,0,0,0,13,0,0,0,0,5,0,0,0,0,0,1,2,0,0,0,0,4,0,0,53,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,12,0,0,0,6,0,0,7,0,0,385,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6147,0,0,0,0,0,0,0,0,5,101,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,51,111,11,0,0,5,0,0,0,0,0,0
Angola,0,0,0,0,0,0,0,81,0,0,550,402,0,0,0,0,0,0,6630,0,0,6,0,6,0,3677,7897,0,10,0,0,379,0,2777,3722,0,101,0,0,69,248,56,0,197499,41856,4,0,0,102,0,0,418,155,0,0,25,64,39,5,0,348,5,0,0,0,429,21610,0,1055,0,0,0,0,8,0,0,0,0,111,0,0,0,0,0,83,34,0,0,0,0,1032,0,0,1820,0,0,0,0,3049,0,0,0,0,0,0,0,0,0,13,0,0,0,0,15,0,0,0,0,0,0,543,1,0,0,0,34,0,0,0,0,0,0,0,0,34405,0,4881,0,0,7,0,0,0,515,0,0,0,12,0,0,18,78,62,161395,0,0,1,511,0,0,0,681,0,0,0,1,0,0,0,26,9,0,0,65716,0,3293,0,0,0,0,0,0,0,126,742,6837,0,0,2417,0,0,0,0,0,0,12,0,0,0,0,58,0,24000,13841,13,0,0,190,441,0,0,0,44339,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,5,10,6,0,14,0,21264,305,0,3,0,0,33,0,0,0,0,0,0,6,0,0,0,0,0,2789,0,0,0,0,15,0,41,0,0,0,5,0,0,3,55,0,11,1,0,469,368,0,24,0,0,0,4,0,0,0,1,82,0,0,0,0,0,0,28,0,57,0,0,4325,0,19,0,0,0,1,2,0,0,0,0,6,0,0,19,230,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,433,0,33,0,0,123,0,0,0,0,0,0,0,1,0,0,26,14,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,552,30,0,0,0,0,0,0,0,411,119,0,77,0,0,0,8,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3275,31165,0,0,0,2,1053,5251,0,0,0,0
Argentina,0,0,0,0,708,0,0,0,0,71,15970,1604,0,115,0,0,0,101,2398,0,0,28,0,44436,5,0,35618,0,178,0,0,4,0,0,22667,18,0,0,0,73285,1933,3419,0,0,0,2330,0,227,173,21,98,208,1341,0,0,3653,7867,235,217,0,0,39,0,8,0,412,13142,0,0,0,15,18599,0,629,0,0,0,576,108,0,0,988,192,0,392,51,0,0,0,0,715,0,35620,69275,0,4515,12,0,119,0,0,0,0,0,0,0,19,0,0,0,0,26,79,42,0,0,0,0,0,0,0,19,0,147,0,14747,0,0,49,0,0,0,0,0,45,0,3418,0,1817,278,0,0,0,1132,0,0,0,2633,0,75919,13199,152,293,1365,1309,0,11,252,0,0,82,0,0,0,106,6,0,0,4,85,4988,0,0,3915,0,249467,0,0,0,0,0,0,0,0,3152,8916,0,0,0,0,0,0,0,0,0,209,0,0,0,0,500,0,16055,189126,27933,0,2,10098,115,0,0,0,0,0
Armenia,0,0,0,0,0,0,0,939,0,0,1390,3327,145693,0,0,0,0,5762,1809,0,0,4,0,5,0,0,64,0,2252,0,0,0,0,0,4063,0,0,0,0,13,0,16,0,0,0,7,0,0,3,0,1383,4694,697,0,0,8,56,151,4,0,0,517,0,0,0,97,19372,0,0,0,12605,14048,0,14028,0,0,0,0,8,0,0,0,0,0,190,10,0,0,2469,0,142,0,0,1473,0,0,25,9371,11,0,0,0,0,0,2644,0,707,0,0,0,260,0,815,7,0,0,0,0,0,0,0,34,0,0,0,21,0,3103,2,0,0,0,0,0,56,0,928,0,0,0,0,0,0,0,0,0,0,7,0,0,1,139,2256,105,0,0,42,527659,0,0,0,0,0,0,156,0,0,0,0,152,25,0,0,0,0,11661,0,0,0,0,0,0,0,0,2674,953,0,198,0,0,0,0,0,0,0,1178,6961,0,0,0,49862,0,1467,90946,60,16867,0,34,0,0,0,0,0,0
Aruba,0,0,0,0,0,0,5,1,0,0,70,0,0,5,0,0,0,0,0,0,0,4,0,2,0,0,0,0,6,0,0,0,0,0,683,0,0,0,0,5,0,328,0,0,0,32,0,0,0,1743,0,0,6,0,47,456,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,4272,0,0,0,0,0,0,16,0,0,0,15,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1331,0,11,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,555,6485,2,0,0,493,0,579,0,0,0,0
Australia,0,0,167,0,61,0,7,1179,0,14,0,2380,0,86,0,0,33,27,1543,0,0,101,28,237,26,464,721,934,297,0,0,0,119,0,24721,242,10,0,0,1236,13286,234,0,0,0,113,0,1552,6,0,3508,1074,2114,0,7,92,546,442,27,0,0,80,0,39,2144,1121,8475,84,0,0,0,13938,37,19857,0,0,0,72,9,0,0,0,6,9233,997,130,656,11094,0,0,7099,376,3870,19350,0,13365,251,0,329,133,204,5381,0,0,0,52,134,0,0,0,764,0,41,82,0,0,0,0,5416,92,0,5463,9,0,145,598,20,0,123,214,117,0,0,0,496,0,10697,363,66896,10,0,2067,0,2241,0,0,0,288,9662,28,688,4118,974,1243,10,0,72,543,17,1246,0,0,0,0,670,51,0,10446,0,310,2032,429,0,11898,0,6115,475,2,17,0,0,0,0,57,3988,6158,0,0,0,11298,566,0,0,0,0,4350,0,0,7,0,92,0,135000,93179,215,0,640,150,205,0,0,0,276,0
Austria,0,0,167,0,0,0,0,1671,0,13,18360,0,0,41,0,0,0,58,3379,0,0,38,13,165,201,0,2864,0,781,0,0,0,0,0,24056,66,22,0,0,663,1054,222,0,0,0,308,0,5011,17,0,417,4800,1484,0,0,1334,798,569,11,0,0,225,0,3,0,603,12780,0,0,0,25,183625,0,2212,0,0,0,0,0,0,0,360,13,0,9911,134,0,0,0,0,843,0,3880,15557,0,644,117,0,145,0,0,0,0,0,0,0,91,0,0,0,768,4011,59,1026,0,4,0,0,155,23,0,138,0,0,0,463,0,0,199,15,221,0,0,0,564,0,6594,0,1375,40,0,0,0,1605,0,0,0,111,0,146,230,518,4061,521,11,0,671,2955,0,0,3,0,0,0,6950,17,0,0,0,3662,9055,0,0,8903,0,7184,0,0,0,0,0,0,0,0,5772,60052,0,65,0,0,0,0,0,0,0,21227,0,0,0,0,0,0,15000,44943,141,115,0,840,290,0,0,0,0,0
Azerbaijan,0,0,0,0,0,0,0,1,87454,0,630,1301,0,0,0,0,0,13571,241,0,0,1,0,1,0,0,0,0,2963,0,0,0,0,0,3405,0,0,0,0,5,530,19,0,0,0,3,0,0,26,0,42,1500,340,0,0,0,3,46,0,0,0,1163,0,0,0,132,4173,0,0,0,5937,20372,0,497,0,0,0,0,4,0,0,0,0,0,256,14,0,0,11960,0,158,0,13764,755,0,0,11,49997,11,0,0,0,0,0,5195,0,1925,0,0,0,0,0,1365,1,0,0,0,0,0,0,0,2,0,0,0,21,0,6089,0,0,0,0,0,0,0,0,853,0,0,5,0,0,0,518,0,0,0,0,0,0,6,0,285,68,0,0,9,767881,0,0,0,0,0,0,0,1,0,0,0,41,27,0,0,0,0,621,0,0,0,0,0,0,0,0,2935,753,0,173,0,0,0,0,0,0,0,52836,7584,0,0,0,86741,0,2562,22320,0,33157,0,0,0,0,0,0,0,0
"Bahamas, The",0,0,0,0,0,0,2,4,0,3,310,22,0,0,0,0,73,0,15,0,0,44,0,0,0,0,18,0,5,0,0,0,0,0,1772,240,0,0,0,2,0,9,0,0,0,19,0,0,2,82,0,0,10,0,12,126,71,21,0,0,0,0,0,0,0,9,48,0,0,0,0,0,0,22,0,45,0,0,12,0,16,0,0,0,8,7,0,0,0,0,48,0,0,133,997,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0,45,0,59,0,0,87,0,0,0,23,0,0,0,13,0,1,6,0,0,3,0,0,0,24,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,58,0,24,13,0,0,0,0,0,30,133,0,0,0,0,0,0,0,0,0,11,0,18,0,0,4,0,6267,33163,6,0,0,8,0,0,0,0,0,0
Bahrain,0,0,215,0,0,0,0,12,0,0,1740,30,0,0,0,30877,0,0,49,0,0,24,0,0,0,0,31,0,22,0,0,0,0,0,2319,0,0,0,0,5,0,7,0,0,0,1,0,0,0,0,126,32,55,0,0,29,0,398,0,0,0,1,0,0,0,19,162,0,0,0,0,0,0,22,0,0,0,0,2,0,0,0,0,0,20,1,0,0,0,0,190,0,0,58,0,0,428,0,201,0,0,0,0,1413,0,0,0,137,0,0,989,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,44,0,135,0,0,0,0,0,0,32,997,0,0,3,0,0,6,114,9,1,0,779,0,12,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,270,0,56,403,0,0,0,0,0,0,0,88,238,0,0,0,0,0,0,0,0,0,33,0,0,0,0,6,1906,6021,2848,1,0,0,0,1465,0,8589,0,0,0
