,Rank,Name,symbol,marketcap,price..USD.,country
1,1,Sea (Garena),SE,68345212928,122.54,Singapore
2,2,DBS,DBSDF,67060457472,26.06,Singapore
3,3,OCBC Bank,O39.SI,39874404135,8.88,Singapore
4,4,UOB,U11.SI,39562413715,23.66,Singapore
5,5,Singtel,SNGNF,31863949312,1.9,Singapore
6,6,Wilmar,WLMIF,21157103616,3.36,Singapore
7,7,Grab Holdings,GRAB,15338468352,4.1,Singapore
8,8,Singapore Airlines,SINGF,11780383744,3.92,Singapore
9,9,CapitaLand Mall Trust,C38U.SI,10698925348,1.62,Singapore
10,10,ST Engineering,SJX.F,9287955592,2.97,Singapore
11,11,Ascendas Reit,A17U.SI,8982212688,2.14,Singapore
12,12,Keppel,BN4.SI,8599347018,4.74,Singapore
13,13,Flex,FLEX,7921948160,17.07,Singapore
14,14,Singapore Exchange,SPXCF,7743093760,7.25,Singapore
15,15,Great Eastern,G07.SI,7214968103,15.24,Singapore
16,16,Genting Singapore,G13.SI,6902891553,0.57,Singapore
17,17,Jardine Cycle &amp; Carriage,C07.SI,6829572928,17.28,Singapore
18,18,Mapletree Logistics Trust,M44U.SI,6457661646,1.35,Singapore
19,19,BOC Aviation,2588.HK,5259154375,7.58,Singapore
20,20,Mapletree Industrial Trust,ME8U.SI,5222537128,1.96,Singapore
21,21,Olam,VC2.SI,4989894440,1.3,Singapore
22,22,City Developments,C09.SI,4938174071,5.45,Singapore
23,23,Mapletree Commercial Trust,N2IU.SI,4634564714,1.39,Singapore
24,24,UOL Group,U14.SI,4354228616,5.16,Singapore
25,25,Frasers Logistics &amp; Industrial Trust,BUOU.SI,3976140144,1.05,Singapore
26,26,Kulicke and Soffa Industries,KLIC,3820883712,61.33,Singapore
27,27,Kenon Holdings,KEN,3811946240,70.75,Singapore
28,28,Venture Corporation,V03.SI,3580308116,12.32,Singapore
29,29,Suntec REIT,T82U.SI,3564839075,1.25,Singapore
30,30,Sembcorp,U96.SI,3548094326,1.95,Singapore
31,31,Keppel REIT,K71U.SI,3369786887,0.91,Singapore
32,32,SATS,S58.SI,3270204625,2.91,Singapore
33,33,Mapletree North Asia Commercial Trust,RW0U.SI,2915365803,0.83,Singapore
34,34,United Industrial Corporation,U06.SI,2825711547,1.9,Singapore
35,35,NetLink Trust,CJLU.SI,2817759434,0.72,Singapore
36,36,HPH Trust,HCTPF,2505389312,0.27,Singapore
37,37,ComfortDelGro,C52.SI,2304560223,1.04,Singapore
38,38,Sembcorp Marine,S51.SI,2179361813,0.07,Singapore
39,39,TDCX,TDCX,1898596224,13.29,Singapore
40,40,Yanlord,Z25.SI,1667270205,0.86,Singapore
41,41,Riverstone Holdings,AP4.SI,1148252585,0.77,Singapore
42,42,Karooooo,KARO,948341696,30.64,Singapore
43,43,Pacific Century Regional Developments,P15.SI,810850575,0.31,Singapore
44,44,Maxeon Solar Technologies,MAXN,595914048,13.4,Singapore
45,45,Triterras,TRIT,136441280,1.64,Singapore
46,46,Society Pass,SOPA,76587128,2.84,Singapore
