timestamp,location,price,last4ccnum
01/06/2014 07:28,Brew've Been Served,11.34,4795
01/06/2014 07:34,Hallowed Grounds,52.22,7108
01/06/2014 07:35,Brew've Been Served,8.33,6816
01/06/2014 07:36,Hallowed Grounds,16.72,9617
01/06/2014 07:37,Brew've Been Served,4.24,7384
01/06/2014 07:38,Brew've Been Served,4.17,5368
01/06/2014 07:42,Coffee Cameleon,28.73,7253
01/06/2014 07:43,Brew've Been Served,9.6,4948
01/06/2014 07:43,Brew've Been Served,16.9,9683
01/06/2014 07:47,Hallowed Grounds,16.53,8129
01/06/2014 07:48,Hallowed Grounds,10.66,3492
01/06/2014 07:49,Coffee Cameleon,8.39,5921
01/06/2014 07:52,Brew've Been Served,32.83,9405
01/06/2014 07:54,Hallowed Grounds,16.88,7889
01/06/2014 07:54,Coffee Cameleon,11.86,2142
01/06/2014 07:54,Hallowed Grounds,32.93,2681
01/06/2014 07:55,Hallowed Grounds,8.05,9551
01/06/2014 07:55,Brew've Been Served,3.67,3484
01/06/2014 07:59,Brew've Been Served,8.88,7819
01/06/2014 08:00,Brew've Been Served,4.27,5407
01/06/2014 08:00,Hallowed Grounds,9.69,6691
01/06/2014 08:01,Hallowed Grounds,10.07,1874
01/06/2014 08:06,Brew've Been Served,18.24,3853
01/06/2014 08:06,Brew've Been Served,15.58,4434
01/06/2014 08:07,Brew've Been Served,5.66,6901
01/06/2014 08:14,Coffee Cameleon,3.2,2418
01/06/2014 08:16,Brew've Been Served,14.97,1286
01/06/2014 08:16,Brew've Been Served,11.2,8411
01/06/2014 08:17,Brew've Been Served,15.39,8202
01/06/2014 08:23,Abila Airport,4540.08,9220
01/06/2014 09:06,Kronos Pipe and Irrigation,242.21,9220
01/06/2014 10:02,Nationwide Refinery,761.64,9735
01/06/2014 10:18,Maximum Iron and Steel,2859.51,9220
01/06/2014 11:33,Stewart and Sons Fabrication,2144.62,9735
01/06/2014 11:57,Carlyle Chemical Inc.,3959.66,9220
01/06/2014 12:00,Coffee Shack,51.51,7117
01/06/2014 12:00,Bean There Done That,10.28,1415
01/06/2014 12:00,Bean There Done That,16.09,9635
01/06/2014 12:00,Brewed Awakenings,5.72,7688
01/06/2014 12:00,Jack's Magical Beans,11.03,6899
01/06/2014 12:00,Brewed Awakenings,16.89,2540
01/06/2014 12:00,Bean There Done That,8.54,1877
01/06/2014 12:00,Brewed Awakenings,4.35,8332
01/06/2014 12:00,Bean There Done That,5.24,1321
01/06/2014 12:00,Bean There Done That,4.27,6895
01/06/2014 12:00,Jack's Magical Beans,18.59,9241
01/06/2014 12:00,Jack's Magical Beans,27.84,8156
01/06/2014 12:00,Jack's Magical Beans,18.1,2463
01/06/2014 12:16,Abila Airport,1873.79,8642
01/06/2014 12:56,Katerina’s Café,13.68,8332
01/06/2014 12:57,Hippokampos,9.16,8156
01/06/2014 13:18,Abila Zacharo,106.93,2418
01/06/2014 13:19,Gelatogalore,12.74,7253
01/06/2014 13:19,Kalami Kafenion,70.1,3484
