ID,CLASS,GENDER,RACE,ENGLISH,MATHS,SCIENCE
Student321,3I,Male,Malay,21,9,15
Student305,3I,Female,Malay,24,22,16
Student289,3H,Male,Chinese,26,16,16
Student227,3F,Male,Chinese,27,77,31
Student318,3I,Male,Malay,27,11,25
Student306,3I,Female,Malay,31,16,16
Student313,3I,Male,Chinese,31,21,25
Student316,3I,Male,Malay,31,18,27
Student312,3I,Male,Malay,33,19,15
Student297,3H,Male,Indian,34,49,37
Student314,3I,Male,Chinese,34,39,42
Student278,3H,Female,Malay,36,35,22
Student302,3I,Female,Chinese,36,23,32
Student323,3I,Male,Chinese,36,36,36
Student296,3H,Male,Chinese,37,49,35
Student311,3I,Female,Chinese,38,30,45
Student304,3I,Female,Malay,39,21,21
Student307,3I,Female,Malay,39,24,35
Student259,3G,Male,Malay,40,54,26
Student273,3H,Female,Malay,40,36,24
Student292,3H,Male,Malay,40,40,31
Student303,3I,Female,Malay,40,20,32
Student177,3E,Male,Chinese,41,71,40
Student253,3G,Male,Others,41,51,37
Student294,3H,Male,Malay,41,32,26
Student287,3H,Male,Malay,42,32,27
Student293,3H,Male,Malay,42,37,23
Student290,3H,Male,Malay,43,30,31
Student295,3H,Male,Indian,43,35,38
Student319,3I,Male,Indian,43,25,24
Student309,3I,Female,Malay,44,24,24
Student315,3I,Male,Malay,44,19,35
Student288,3H,Male,Chinese,45,50,27
Student301,3I,Female,Malay,45,32,30
Student248,3G,Male,Chinese,46,55,17
Student277,3H,Female,Malay,46,31,34
Student171,3E,Female,Chinese,48,56,49
Student324,3I,Male,Chinese,48,41,41
Student258,3G,Male,Malay,49,30,32
Student282,3H,Female,Chinese,49,44,19
Student298,3H,Male,Malay,49,41,32
Student317,3I,Male,Malay,49,34,31
Student276,3H,Female,Malay,50,35,40
Student286,3H,Male,Malay,50,56,36
Student310,3I,Female,Malay,50,58,50
Student215,3F,Female,Chinese,51,74,54
Student200,3F,Female,Chinese,52,71,47
Student202,3F,Female,Chinese,52,55,39
Student264,3G,Male,Indian,52,42,16
Student322,3I,Male,Malay,52,58,41
Student117,3C,Male,Chinese,53,90,46
Student199,3F,Female,Chinese,53,77,57
Student251,3G,Male,Chinese,53,51,45
Student320,3I,Male,Malay,53,25,48
Student188,3E,Male,Chinese,54,65,40
Student231,3F,Male,Chinese,54,78,60
Student255,3G,Male,Chinese,54,54,32
Student262,3G,Male,Malay,54,59,45
Student265,3G,Male,Chinese,54,38,46
Student271,3H,Female,Chinese,54,52,52
