Project Name,Address,No. of Units,Area (sqm),Type of Area,Transacted Price ($),Nett Price($),Unit Price ($ psm),Unit Price ($ psf),Sale Date,Property Type,Tenure,Completion Date,Type of Sale,Purchaser Address Indicator,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
ADANA @ THOMSON,8 Old Upper Thomson Road  #05-03,1,52,Strata,888888,-,17094,1588,4-Jul-18,Apartment,Freehold,2018,New Sale,Private,20,57,573868,North East Region,Ang Mo Kio
ALANA,156 Sunrise Terrace,1,284,Strata,2530000,-,8908,828,5-Oct-18,Terrace House,103 Yrs From 12/08/2013,2018,Sub Sale,Private,28,80,804555,North East Region,Ang Mo Kio
ALANA,104 Sunrise Terrace,1,256,Strata,2390863,2382517,9307,865,9-Jun-18,Terrace House,103 Yrs From 12/08/2013,2018,New Sale,HDB,28,80,804529,North East Region,Ang Mo Kio
ALANA,126 Sunrise Terrace,1,256,Strata,2450000,2441654,9538,886,14-May-18,Terrace House,103 Yrs From 12/08/2013,2018,New Sale,N.A,28,80,804540,North East Region,Ang Mo Kio
ATELIER VILLAS,43 Yio Chu Kang Drive,1,277,Strata,1980000,-,7148,664,29-Mar-18,Terrace House,Freehold,2008,Resale,Private,26,78,786300,North East Region,Ang Mo Kio
ATELIER VILLAS,11 Yio Chu Kang Drive,1,285,Strata,1980000,-,6947,645,31-May-18,Terrace House,Freehold,2008,Resale,Private,26,78,786284,North East Region,Ang Mo Kio
BANYAN VILLAS,30 Lentor Plain,1,234,Land,3450000,-,14763,1371,23-Aug-18,Terrace House,Freehold,2003,Resale,Private,26,78,786532,North East Region,Ang Mo Kio
BANYAN VILLAS,18 Lentor Plain,1,155,Land,2500000,-,16139,1499,23-Jul-18,Terrace House,Freehold,2003,Resale,HDB,26,78,786520,North East Region,Ang Mo Kio
BULLION PARK,170 Lentor Loop  #12-04,1,115,Strata,1350000,-,11739,1091,10-Apr-18,Condominium,Freehold,1993,Resale,HDB,26,78,789099,North East Region,Ang Mo Kio
BULLION PARK,166 Lentor Loop  #13-06,1,117,Strata,1388000,-,11863,1102,28-Mar-18,Condominium,Freehold,1993,Resale,Private,26,78,789097,North East Region,Ang Mo Kio
BULLION PARK,166 Lentor Loop  #10-02,1,75,Strata,915000,-,12200,1133,27-Mar-18,Condominium,Freehold,1993,Resale,Private,26,78,789097,North East Region,Ang Mo Kio
BULLION PARK,168 Lentor Loop  #08-04,1,115,Strata,1268888,-,11034,1025,26-Mar-18,Condominium,Freehold,1993,Resale,HDB,26,78,789098,North East Region,Ang Mo Kio
BULLION PARK,170 Lentor Loop  #04-02,1,75,Strata,838000,-,11173,1038,11-Feb-18,Condominium,Freehold,1993,Resale,Private,26,78,789099,North East Region,Ang Mo Kio
BULLION PARK,164 Lentor Loop  #05-05,1,75,Strata,860000,-,11467,1065,15-Jan-18,Condominium,Freehold,1993,Resale,Private,26,78,789096,North East Region,Ang Mo Kio
BULLION PARK,168 Lentor Loop  #12-02,1,75,Strata,858000,-,11440,1063,3-Jan-18,Condominium,Freehold,1993,Resale,Private,26,78,789098,North East Region,Ang Mo Kio
BULLION PARK,160 Lentor Loop  #03-01,1,117,Strata,1420000,-,12137,1128,21-Sep-18,Condominium,Freehold,1992,Resale,Private,26,78,789094,North East Region,Ang Mo Kio
BULLION PARK,164 Lentor Loop  #05-06,1,117,Strata,1510000,-,12906,1199,14-Nov-18,Condominium,Freehold,1993,Resale,Private,26,78,789096,North East Region,Ang Mo Kio
BULLION PARK,170 Lentor Loop  #10-02,1,75,Strata,925000,-,12333,1146,9-Oct-18,Condominium,Freehold,1993,Resale,Private,26,78,789099,North East Region,Ang Mo Kio
BULLION PARK,170 Lentor Loop  #14-04,1,174,Strata,1950000,-,11207,1041,15-May-18,Condominium,Freehold,1993,Resale,Private,26,78,789099,North East Region,Ang Mo Kio
